softID,hardID,geom_i,geom_j,G-APD,V_op,crate,board,patch,CHID,pos_X,pos_Y
0,1036,0,0,957,70.59,1,0,3,393,0,0.5
1,1033,0,1,997,70622,1,0,3,390,0,-0.5
2,1034,-1,0,1087,70.59,1,0,3,391,-0.87,0
3,1037,-1,-1,844,70.59,1,0,3,394,-0.87,1
4,3020,0,-1,769,70592,3,0,2,1098,0,1.5
5,1038,1,-1,923,70.59,1,0,3,395,0.87,1
6,1035,1,0,977,70.59,1,0,3,392,0.87,0
7,1032,1,1,1107,70622,1,0,3,389,0.87,-1
8,1030,0,2,915,70622,1,0,3,387,0,-1.5
9,1031,-1,1,777,70622,1,0,3,388,-0.87,-1
10,1028,-2,1,906,70707,1,0,2,386,-1.73,-0.5
11,2732,-2,0,1090,70677,2,7,3,1001,-1.73,0.5
12,2735,-2,-1,1200,70688,2,7,3,1004,-1.73,1.5
13,3021,-1,-2,1338,70592,3,0,2,1099,-0.87,2
14,3023,0,-2,794,70592,3,0,2,1101,0,2.5
15,3022,1,-2,985,70592,3,0,2,1100,0.87,2
16,3034,2,-1,898,70.62,3,0,3,1111,1.73,1.5
17,3031,2,0,900,70.62,3,0,3,1108,1.73,0.5
18,737,2,1,465,70794,0,7,3,286,1.73,-0.5
19,734,2,2,513,70794,0,7,3,283,1.73,-1.5
20,1018,1,2,1193,70764,1,0,1,377,0.87,-2
21,1016,0,3,466,70764,1,0,1,375,0,-2.5
22,1017,-1,2,1177,70764,1,0,1,376,-0.87,-2
23,1025,-2,2,530,70707,1,0,2,383,-1.73,-1.5
24,1026,-3,1,1085,70707,1,0,2,384,-2.6,-1
25,2730,-3,0,802,70677,2,7,3,999,-2.6,0
26,2733,-3,-1,916,70677,2,7,3,1002,-2.6,1
27,2736,-3,-2,954,70688,2,7,3,1005,-2.6,2
28,2738,-2,-2,932,70688,2,7,3,1007,-1.73,2.5
29,3024,-1,-3,1088,70574,3,0,2,1102,-0.87,3
30,3026,0,-3,907,70574,3,0,2,1104,0,3.5
31,3025,1,-3,778,70574,3,0,2,1103,0.87,3
32,3037,2,-2,1089,70.62,3,0,3,1114,1.73,2.5
33,3036,3,-2,561,70.62,3,0,3,1113,2.6,2
34,3033,3,-1,940,70.62,3,0,3,1110,2.6,1
35,3030,3,0,929,70.62,3,0,3,1107,2.6,0
36,736,3,1,563,70794,0,7,3,285,2.6,-1
37,733,3,2,1197,70721,0,7,3,282,2.6,-2
38,731,2,3,899,70721,0,7,3,280,1.73,-2.5
39,1015,1,3,1195,70764,1,0,1,374,0.87,-3
40,1013,0,4,159,70735,1,0,1,372,0,-3.5
41,1014,-1,3,157,70764,1,0,1,373,-0.87,-3
42,1022,-2,3,896,70763,1,0,2,380,-1.73,-2.5
