#SoftID	HardID	ContHardID	G-APD
1348	0	0	414
1419	1	1	415
1249	2	2	428
1349	3	3	417
1420	4	4	1682
1250	5	5	888
1350	6	6	326
1421	7	7	639
1251	8	8	867
1345	10	9	1819
1416	11	10	1989
1246	12	11	73
1346	13	12	1935
1417	14	13	236
1247	15	14	524
1347	16	15	23
1418	17	16	707
1248	18	17	723
1025	20	18	1839
917	21	19	1658
1138	22	20	214
1024	23	21	1258
916	24	22	1877
1137	25	23	531
1023	26	24	238
915	27	25	217
1136	28	26	270
1022	30	27	58
914	31	28	77
1135	32	29	60
1021	33	30	1876
913	34	31	740
1134	35	32	1231
1020	36	33	1368
912	37	34	1778
1133	38	35	1798
1145	100	36	1874
1031	101	37	1869
1144	102	38	1920
1030	103	39	13
922	104	40	131
1029	105	41	1791
921	106	42	1713
819	107	43	1748
920	108	44	240
1356	110	45	125
1355	111	46	209
1260	112	47	847
1146	113	48	148
1354	114	49	292
1259	115	50	290
1258	116	51	248
1257	117	52	939
1143	118	53	1294
1256	120	54	1757
1142	121	55	367
1141	122	56	1281
1255	123	57	1665
1028	124	58	1669
1027	125	59	221
919	126	60	1683
1026	127	61	1883
918	128	62	1886
1140	130	63	1361
1254	131	64	634
1139	132	65	1744
1353	133	66	1301
1253	134	67	535
1352	135	68	86
1252	136	69	194
1438	137	70	1985
1351	138	71	184
1148	200	72	705
1034	201	73	1786
1147	202	74	1780
1033	203	75	1779
925	204	76	1777
1032	205	77	1688
924	206	78	468
822	207	79	745
923	208	80	626
1424	210	81	993
1359	211	82	1306
1358	212	83	252
1263	213	84	1045
1423	214	85	1221
1422	215	86	989
1357	216	87	1118
1262	217	88	1137
1261	218	89	602
821	220	90	1651
725	221	91	565
820	222	92	26
724	223	93	52
634	224	94	958
723	225	95	1068
633	226	96	1845
549	227	97	1974
632	228	98	393
548	230	99	749
470	231	100	135
547	232	101	300
469	233	102	349
397	234	103	387
546	235	104	971
468	236	105	597
396	237	106	1209
545	238	107	127
818	300	108	1292
722	301	109	118
817	302	110	655
721	303	111	1629
631	304	112	1754
816	305	113	1823
720	306	114	30
630	307	115	140
815	308	116	754
719	310	117	10
629	311	118	1146
814	312	119	487
718	313	120	100
628	314	121	686
813	315	122	1039
717	316	123	1134
627	317	124	1357
812	318	125	2310
716	320	126	2305
626	321	127	666
811	322	128	2314
715	323	129	650
625	324	130	1148
810	325	131	1671
714	326	132	289
624	327	133	297
809	328	134	388
467	330	135	1967
395	331	136	673
544	332	137	1730
466	333	138	129
394	334	139	169
543	335	140	372
465	336	141	557
393	337	142	609
542	338	143	833
1365	400	144	1241
1429	401	145	40
1364	402	146	255
1363	403	147	1750
1268	404	148	1255
1362	405	149	1307
1267	406	150	1315
1266	407	151	1691
1152	408	152	1836
1428	410	153	175
1427	411	154	2290
1426	412	155	311
1361	413	156	926
1425	414	157	427
1360	415	158	2293
1265	416	159	171
1264	417	160	442
1149	418	161	163
1151	420	162	706
1037	421	163	1065
1150	422	164	1298
1036	423	165	1300
928	424	166	1685
1035	425	167	1712
927	426	168	1715
825	427	169	1770
926	428	170	181
824	430	171	599
728	431	172	1000
823	432	173	1813
727	433	174	1956
637	434	175	379
726	435	176	1040
636	436	177	1373
552	437	178	1610
635	438	179	22
551	500	180	1074
473	501	181	1206
550	502	182	1218
472	503	183	1275
400	504	184	1293
471	505	185	632
399	506	186	1984
333	507	187	335
398	508	188	635
332	510	189	436
272	511	190	439
331	512	191	444
271	513	192	605
217	514	193	1247
330	515	194	1735
270	516	195	425
216	517	196	1331
329	518	197	143
269	520	198	780
215	521	199	834
328	522	200	839
268	523	201	873
214	524	202	872
327	525	203	1649
267	526	204	150
213	527	205	772
326	528	206	861
464	530	207	752
392	531	208	771
541	532	209	955
463	533	210	1026
391	534	211	1046
540	535	212	1323
462	536	213	1609
390	537	214	1736
539	538	215	1739
1273	600	216	275
1367	601	217	371
1272	602	218	272
1158	603	219	81
1366	604	220	6
1271	605	221	1207
1270	606	222	486
1269	607	223	139
1155	608	224	578
1154	610	225	119
1040	611	226	95
1153	612	227	1847
1039	613	228	527
931	614	229	211
1038	615	230	588
930	616	231	612
828	617	232	1282
929	618	233	1800
827	620	234	766
731	621	235	1615
826	622	236	1624
730	623	237	1648
640	624	238	1652
729	625	239	584
639	626	240	1365
555	627	241	1655
638	628	242	1656
554	630	243	286
476	631	244	398
553	632	245	736
475	633	246	812
403	634	247	815
474	635	248	852
402	636	249	868
336	637	250	830
401	638	251	327
335	700	252	511
275	701	253	831
334	702	254	865
274	703	255	1038
220	704	256	1289
273	705	257	1720
219	706	258	1726
171	707	259	782
218	708	260	814
170	710	261	2295
128	711	262	2296
169	712	263	874
127	713	264	421
91	714	265	1168
168	715	266	2298
126	716	267	2300
90	717	268	331
167	718	269	781
173	720	270	1106
131	721	271	210
172	722	272	456
130	723	273	483
94	724	274	791
129	725	275	902
93	726	276	909
