#PatchSoftID	ContPatchHardID
145	1
125	2
115	3
103	4
117	5
149	6
129	7
158	8
105	9
151	10
81	11
58	12
88	13
79	14
67	15
49	16
131	17
141	18
97	19
69	20
51	21
34	22
25	23
39	24
154	25
107	26
71	27
41	28
27	29
16	30
11	31
4	32
119	33
83	34
53	35
29	36
124	37
90	38
60	39
36	40
18	41
6	42
5	43
0	44
30	45
12	46
17	47
9	48
155	49
120	50
84	51
54	52
132	53
108	54
72	55
42	56
35	57
28	58
50	59
26	60
142	61
98	62
70	63
52	64
152	65
106	66
82	67
59	68
150	69
118	70
130	71
89	72
80	73
68	74
104	75
93	76
159	77
116	78
146	79
126	80
147	81
127	82
113	83
101	84
111	85
135	86
122	87
156	88
99	89
133	90
75	91
56	92
86	93
77	94
47	95
65	96
143	97
137	98
91	99
63	100
45	101
32	102
23	103
40	104
139	105
95	106
61	107
37	108
21	109
14	110
7	111
2	112
109	113
73	114
43	115
19	116
121	117
153	118
85	119
55	120
31	121
13	122
1	123
3	124
20	125
8	126
15	127
10	128
140	129
110	130
74	131
44	132
144	133
96	134
62	135
38	136
33	137
22	138
48	139
24	140
138	141
92	142
64	143
46	144
134	145
100	146
76	147
57	148
136	149
112	150
123	151
87	152
78	153
66	154
102	155
94	156
157	157
114	158
148	159
128	160
